ID,"input word",pronounce,part-of-speech,translation,synonyms,alt-synonyms
1,86,,,86,,
2,"a la mode",,,divatos,,
3,"a priori",,,"a priori",,
4,a1,,,a1,,
5,aback,əˈbak,adverb,hátra,back|behind|rearwards|backwards,visszafelé
6,abaft,əˈbaft,adverb,"hajó fara felé",,
7,abandon,əˈbandən,verb,elhagyott,"forsake|leave|omit|leave behind|desert|mail|give up|waive|give in|relinquish|hand down|give up|radio","elhagy|felad|letesz valamiről|lead"
8,abandoned,əˈbandənd,adjective,elhagyatott,deserted|desolate|neglected|forlorn|lorn|profligate|lewd,feslett
9,abandonment,əˈbandənmənt,noun,lemondás,resignation|renunciation|waiver|renouncement|abdication,elhagyás
10,abase,əˈbās,verb,megaláz,humiliate|humble|abject,
11,abash,Ābāsa,,Lakóhely,,
12,abashment,,noun,zavar,confusion|embarrassment|difficulties|jam|perplexity,
13,abate,əˈbāt,verb,érvénytelenít,decrease|reduce|diminish|lower|cut|invalidate|void|cancel|nullify|annul,csökkent
14,abatement,əˈbātmənt,noun,csökkentés,"reduction|reducing|mitigation|cut|cutting down|invalidation|annulment|abolishment|avoidance|reversal|complicity",érvénytelenítés|bűnpártolás
15,abbey,ˈabē,noun,apátság,,
16,abbreviate,əˈbrēvēˌāt,verb,rövidít,abridge|shorten|curtail,
17,abbreviation,əˌbrēvēˈāSHən,noun,rövidítés,abridgment|abridgement|redaction|contraction,
18,abdicate,ˈabdiˌkāt,verb,lemond,"resign|renounce|give up|forgo|disclaim|mail|give up|abandon|waive|give in",felad
19,abdomen,"abˈdōmən,ˈabdəmən",noun,has,belly|tummy|pod|paunch|venter,potroh
20,abduct,abˈdəkt,verb,elrabol,rape|hijack|steal|raven,
21,abduction,abˈdəkSHən,noun,emberrablás,kidnapping,
22,abecedarian,ˌābēsēˈde(ə)rēən,adjective,betűrendes,alphabetic|alphabetical|basic|fundamental|essential|elementary|radical,alapvető
23,aberrant,"əˈber-,ˈabərənt",adjective,aberrált,,megtévedt|eltévedt
24,aberrated,,,aberrált,,
25,aberration,ˌabəˈrāSHən,noun,eltérés,deviation|difference|discrepancy|divergence|variation,"rendellenes fejlődés"
26,aberrational,,,aberrational,,
27,abet,əˈbet,verb,felbujt,suborn,
28,abetment,,,abetment,,
29,abetter,,,jobb,,
30,abettor,,noun,bűnsegéd,,
31,abeyance,əˈbāəns,noun,felfüggesztve,,"hatályon kívül helyezve"
32,abhor,abˈhôr,verb,gyűlöl,hate|loathe|detest|abominate,
33,abhorrence,"-ˈhär-,abˈhôrəns",noun,gyűlölet,hate|hatred|rancor|detestation|rancour|disgust|loathing|nausea|repugnance|abomination,undor
34,abhorrent,"-ˈhär-,abˈhôrənt",adjective,gyűlöletes,hateful|detestable|loathsome|loathful|invidious,
35,abidance,,noun,tartózkodás,stay|residence|staying|reticence|abstention,
36,abide,əˈbīd,verb,betartja,stay|dwell|beware|bear|tolerate|endure|sustain|suffer,tartózkodik|elvisel|bevár
37,abiding,əˈbīdiNG,adjective,maradandó,lasting|imperishable|undying|indefectible|deathless,
38,ability,əˈbilitē,noun,képesség,capability|facility|calibre|talent|gift|faculty|aptitude|art,tehetség
39,abject,"abˈjekt,ˈabˌjekt",adjective,siralmas,deplorable|lamentable|lugubrious|piteous|dungy,alávaló
40,abjection,,noun,megalázás,humiliation|mortification,
41,abjectly,,,aljasul,,
42,abjure,abˈjo͝or,verb,"esküvel tagad",forswear,
43,ablaze,əˈblāz,adjective,lángoló,flaming|blazing|flamy|flaring|aglow|excited|hectic|jumpy|agog|flurried,"izgatott|lángban álló|lángvörös"
44,able,ˈābəl,adjective,képes,capable|illustrated|susceptible|clever|skillful|skilful|deft|good,ügyes
45,able-bodied,,adjective,"fizikailag erős",strong|muscular,
46,ably,ˈāblē,adverb,ügyesen,capably|masterly,
47,abnegate,,,"megtagadja önmagát",,
48,abnegation,ˌabniˈgāSHən,noun,önmegtagadás,self-denial|self-sacrifice|self-renunciation|self-effacement|resignation|renunciation|waiver|abandonment|renouncement,lemondás
49,abnormal,abˈnôrməl,adjective,rendellenes,irregular|atypical|anomalous,
50,abnormality,ˌabnôrˈmalitē,noun,rendellenesség,anomaly|irregularity|monstrosity|enormity|atrocity|frightfulness,szörnyűség
51,abode,əˈbōd,noun,lakóhely,residence|domicile|home|habitation|house,
52,aboil,,,Megszüntettem,,
53,abolish,əˈbäliSH,verb,megszüntet,"do away|wipe out|cancel|obliterate|terminate|discontinue|cease|do away with|abrogate",eltöröl
54,abolishment,,noun,eltörlése,invalidation|annulment|avoidance|reversal|rescission,érvénytelenítés
55,abolition,ˌabəˈliSHən,noun,eltörlés,cancellation|abrogation|obliteration|wipe|liquidation|removal,megszüntetés
56,abominable,əˈbäm(ə)nəbəl,adjective,utálatos,hateful|detestable|loathsome|odious|nasty|hideous|odious|execrable|nauseous,undok
57,abominate,əˈbäməˌnāt,verb,utál,hate|detest|loathe|nauseate|execrate|hate|loathe|detest|abhor,gyűlöl
58,abomination,əˌbäməˈnāSHən,noun,utálat,hatred|loathing|dislike|detestation|distaste|disgust|loathing|abhorrence|nausea|repugnance,undor
59,aboriginal,ˌabəˈrijənl,noun,bennszülött,native|denizen|native,őslakó
60,aborigine,ˌabəˈrijənē,,aborigine,,
61,aborning,,,aborning,,
62,abort,əˈbôrt,verb,elvetél,"miscarry|break off|interrupt|intermit|cut off|intersect|stop|halt|shut off|cut off|stop|halt|arrest|rein in|pull up","megszakít|leállít|terhességet megszakít|megállít"
63,abortion,əˈbôrSHən,noun,magzatelhajtás,failure|fiasco|defeat|throw-back,koraszülés|kudarc
64,abortive,əˈbôrtiv,adjective,sikertelen,unsuccessful|failed|still-born|rudimentary|half-baked|embryonic|aborted,kezdetleges
65,abound,əˈbound,verb,bővelkedik,teem|exuberate,
66,abounding,əˈboundiNG,verb,gazdag,abound|teem|exuberate,bővelkedik
67,about,əˈbout,preposition,"ról ről","around|circa|for|on account of|from|off|from|off",körülbelül|miatt|-ról|-ről
68,about-face,,verb,fordulat,,"sarkon fordul"
69,above,əˈbəv,adverb,felett,over|beyond|over|overhead|upwards|uppermost|high|uppermost|high|over|upwards|overhead,fent|felül|legfelül
70,abracadabra,,,varázsige,,
71,abrade,əˈbrād,verb,ledörzsöl,,lecsiszol
72,abrasion,əˈbrāZHən,noun,kopás,fraying|graze|bruise|galling|scratch,horzsolás|karcolás|lekopás
73,abrasive,"-ziv,əˈbrāsiv",adjective,csiszoló,,
74,abreast,əˈbrest,adverb,"egymás mellett","next to each other|side by side","egy lépcsőben|váll-váll mellett"
75,abridge,əˈbrij,verb,rövidít,shorten|abbreviate|curtail,
76,abridgement,,noun,kivonat,extract|extraction|digest|abridgment|epitome|abbreviation|abridgment|redaction|contraction,rövidítés
77,abridgment,əˈbrijmənt,noun,rövidítés,abbreviation|abridgement|redaction|contraction|extract|extraction|digest|abridgement|epitome,kivonat
78,abrogate,ˈabrəˌgāt,verb,megszünteti,"invalidate|void|cancel|nullify|annul|terminate|discontinue|cease|abolish|do away with",érvénytelenít|megszüntet
79,abrogation,,noun,eltörlés,abolition|cancellation|obliteration|wipe,
80,abrupt,əˈbrəpt,adjective,hirtelen,sudden|rapid|hasty|heady|headlong|rude|impolite|discourteous|uncivil|inurbane|discontinuous|incoherent|disjointed|skimble-skamble|scrappy,udvariatlan|összefüggéstelen
81,abruptly,,adverb,hirtelen,"suddenly|sharp|all of a sudden|short|bang|unexpectedly|pop|quite unexpectedly|rough|in the raw",váratlanul|nyersen
82,abscond,abˈskänd,verb,megszökik,"escape|elope|get away|fall away|hide",elrejtőzik
83,absence,ˈabsəns,noun,távollét,deficit|deficiency|lack|shortage|scarcity,hiány
84,absent,,adjective,hiányzó,missing|lacking|wanting,
85,absentminded,ˈabsəntˌmīndid,adjective,szórakozott,absent-minded|preoccupied|light-headed|scatter-brained|distrait,
86,absolute,"ˈabsəˌlo͞ot,ˌabsəˈlo͞ot",adjective,abszolút,complete|total|entire|whole|global|categorical|peremptory|irrevocable|irreversible|indefeasible,"teljes|ellentmondást nem tűrő|visszavonhatatlan"
87,absoluteness,,noun,"korlátlan hatalom",,
88,absolution,ˌabsəˈlo͞oSHən,noun,feloldozás,shrift,bűnbocsánat
89,absolutism,ˈabsəlo͞oˌtizəm,noun,abszolutizmus,tyranny|despotism|victimization,zsarnokság
90,absolve,"-ˈsälv,əbˈzälv",verb,felment,"release|exonerate|quit|exempt from",feloldoz
91,absorb,"-ˈsôrb,əbˈzôrb",verb,elnyel,"suck|engulf|swallow up|suck in|whelm|obligate|immobilize",leköt
92,absorbant,,,felszívó,,
93,absorbed,"-ˈsôrbd,əbˈzôrbd",adjective,elnyelt,,
94,absorbent,"-ˈsôr-,əbˈzôrbənt",adjective,nedvszívó,absorptive|sound-proof,felszívó|hangelnyelő
95,absorbing,"-ˈsôr-,əbˈzôrbiNG",adjective,elnyelő,,
96,absorption,"-ˈsôrp-,əbˈzôrpSHən",noun,abszorpció,,elnyelés|felszívás
97,"abstain from",,,tartózkodni,,
98,abstainer,,adjective,bornemissza,,
99,abstemious,abˈstēmēəs,,mértékletes,,
100,abstentious,,,abstentious,,
101,abstinence,ˈabstənəns,noun,önmegtartóztatás,abstinent|self-denial|stay|residence|staying|reticence|abstention,tartózkodás
102,abstinent,,adjective,önmegtartóztató,continent|self-denying|teetotal,antialkoholista
103,abstract,,adjective,absztrakt,,elvont
104,abstracted,abˈstraktid,adjective,elvonatkoztatott,,
105,abstraction,abˈstrakSHən,noun,absztrakció,,elvonás
106,abstruse,abˈstro͞os,adjective,homályos,obscure|vague|dim|unclear|hazy|esoteric|oracular,"rejtett értelmű"
107,absurd,"-ˈzərd,əbˈsərd",adjective,abszurd,preposterous|nonsensical|farcical|unable|impossible|ridiculous|nonsensical|ridiculous|ludicrous|laughable|comic|comical,képtelen|nevetséges
108,absurdity,"-ˈzərd-,əbˈsərditē",noun,képtelenség,inability|nonsense|impossibility|ineptitude|incongruity,abszurdum
109,abubble,əˈbəbəl,,abubble,,
110,abundance,əˈbəndəns,noun,bőség,plenty|affluence|width|exuberance|superabundance|wealth|prosperity|welfare|well-being|comfort,jólét
111,abundant,əˈbəndənt,adjective,bőséges,copious|plenty|ample|plentiful|profuse|copious,kiadós
112,abuse,,noun,visszaélés,misuse|diatribe|encroachment|injustice|illegitimacy|insult|offense|affront|wound|lesion|malpractice|hex|garbling|misapplication,"durva bánásmód|helytelen használat|rongálás|gyalázkodás|túlkapás|jogtalanság|sértés|nemi erőszak|szabálytalanság|téves használat|gyalázkodó beszéd|ócsárlás|rontás|rossz célra való fordítás|téves alkalmazás|helytelen alkalmazás|mocskolódás"
113,abusive,"-ziv,əˈbyo͞osiv",adjective,gyalázkodó,defamatory|vituperative,sértegető
114,abut,əˈbət,verb,összeér,,"határos vmivel"
115,abutting,,verb,felfekvő,abut,"határos vmivel"
116,abuzz,əˈbəz,adjective,zümmögő,humming,zümmögés
117,abysm,əˈbizəm,noun,"föld mélye",,őskáosz
118,abysmal,əˈbizməl,adjective,feneketlen,bottomless|unfathomable|groundless,
119,abyss,əˈbis,noun,szakadék,gap|chasm|precipice|ravine|cleft,"végtelen idő"
120,academe,"ˈakəˌdēm,ˌakəˈdēm",,academe,,
121,academic,ˌakəˈdemik,adjective,akadémiai,academical|university|academical|theoretical|theoretic|speculative|ideological|academical,egyetemi|elméleti
122,academical,,adjective,akadémiai,academic|university|academic|theoretical|academic|theoretic|speculative|ideological,egyetemi|elméleti
123,academy,əˈkadəmē,noun,akadémia,college,"főiskola|tudományos társaság"
124,accede,akˈsēd,verb,csatlakozásra,"agree|clinch|concur|come to an agreement|compound","hivatalt elfoglal|megegyezik"
125,accelerate,akˈseləˌrāt,verb,gyorsul,"speed|speed up|quicken|hurry|bustle|urge|hasten|expedite",gyorsít|siettet
126,accent,,noun,hangsúly,emphasis|tone|dot,ékezet
127,accentuate,akˈsenCHo͞oˌāt,verb,hangsúlyoz,"emphasize|lay stress|accent",
128,accentuation,akˌsenCHo͞oˈāSHən,noun,hangsúlyozás,,
129,accept,akˈsept,verb,elfogad,"adopt|recognize|adapt|acknowledge|put up with|adopt|take it into",befogad
130,acceptability,,noun,elfogadhatóság,plausibility,
131,acceptable,akˈseptəbəl,adjective,elfogadható,passable|admissible|welcome,"szívesen látott"
132,acceptably,,,elfogadhatóan,,
133,access,ˈakˌses,noun,hozzáférés,entry|entrance|admission|entree|incoming|input,belépés|hozzáférhetőség|bemenet
134,accessary,,adjective,kiegészítő,additional|supplementary|complementary|auxiliary|completive,
135,accessible,akˈsesəbəl,adjective,hozzáférhető,pervious|approachable|get-at-able|come-at-able|available|attainable|achievable,elérhető
136,accession,akˈseSHən,noun,csatlakozás,growth,gyarapodás
137,accessorial,,,accessorial,,
138,accessory,akˈses(ə)rē,noun,tartozék,appurtenance|accomplice,járulékos|bűntárs
139,accident,ˈaksidənt,noun,baleset,mishap|misadventure,"rendkívüli esemény"
140,accidental,ˌaksiˈdentl,adjective,véletlen,random|incidental|adventitious|fortuitous|occasional|incidental|contingent|haphazard|adventitious|promiscuous,esetleges
141,acclaim,əˈklām,noun,elismerést,,"lelkes éljenzés"
142,acclamation,ˌakləˈmāSHən,noun,felkiáltás,cheering|cheer|ovation|exclamation|outcry|approval|applause|suffrage,éljenzés|helyeslés
143,acclimate,"əˈklīmit,ˈakləˌmāt",verb,hozzászokik,"be addicted to|get used to it|become addicted|become acclimatized to|acclimatize|immigrate",meghonosít|betelepít
144,acclimation,,,akklimatizációs,,
145,acclimatization,,noun,akklimatizálódás,,hozzászoktatás
146,acclimatize,əˈklīməˌtīz,verb,meghonosít,acclimate,akklimatizál
147,acclivity,əˈklivitē,noun,emelkedő,ramp|upgrade,
148,accolade,"-ˌläd,ˈakəˌlād",noun,elismerés,recognition|acknowledgment|admission|probate,"lovaggá ütés"
149,accommodate,əˈkäməˌdāt,verb,elhelyezésére,"conform|suit|roost|lodge|put up|quarter|room",alkalmazkodik|elszállásol
150,accommodating,əˈkäməˌdātiNG,adjective,előzékeny,courteous|considerate|compliant|polite|urbane|officious,szolgálatkész
151,accommodation,əˌkäməˈdāSHən,noun,szállás,quarters|lodging|housing|lodgement|lodgment|housing|conformity|conformation|opportunism|pliancy,elszállásolás|alkalmazkodás
152,accommodative,,,alkalmazkodó,,
153,accompaniment,əˈkəmp(ə)nimənt,noun,kíséret,escort|suite|retinue|attendance|screen,
154,accompany,əˈkəmp(ə)nē,verb,kísér,"chaperon|lead on|company|consort|reside|attend|inhere|connote","elkísér|vele jár"
155,accompanying,,adjective,kísérő,concomitant|incident|inherent,velejáró
156,accomplice,əˈkämplis,noun,bűnrészes,accessory,bűntárs
157,accomplish,əˈkämpliSH,verb,"megvalósítani, végrahajt",perform|fulfill|comply|satisfy|implement|execute|fulfil|enforce|implement|realize|realize|achieve|effect|effectuate|materialize|improve|perfect,teljesít|végrehajt|megvalósít|tökéletesít
158,accomplished,əˈkämpliSHt,adjective,tökéletes,perfect|exquisite|consummate|very|polished,csiszolt
159,accomplishment,əˈkämpliSHmənt,noun,teljesítmény,"performance|output|achievement|efficiency|level of norm|end|completion|conclusion|termination|windup",befejezés
160,accord,əˈkôrd,noun,egyetértés,agreement|concord|concert|harmony|rapport,"üzleti szerződésösszhang"
161,accordance,əˈkôrdns,noun,szerint,harmony|conformity|correspondence|rapport|unison,összhang
162,accordant,,,így,,
163,accordingly,əˈkôrdiNGlē,adverb,Eszerint,,eszerint|aszerint|ilyenformán
164,accouchement,,,szülés,,
165,account,əˈkount,noun,számla,report|statement|coverage|oral|narration|recital|relation,"beszámoló|számadás|elmondás|könyvviteli számla"
166,"account for",,verb,figyelembe,"account|reckon with|give an account|justify|motive|unfold|elucidate",elszámol|indokol|megmagyaráz
167,accountable,əˈkountəbəl,adjective,felelős,responsible|liable|justiciable|answerable|amenable,"felelősségre vonható|számadásra kötelezett|elszámolásra kötelezett|számadásra kötelezhető|elszámolásra kötelezhető"
168,accounting,əˈkountiNG,noun,számvitel,,
169,accouter,,,felfegyverez,,
170,accouterment,,,accouterment,,
171,accoutre,,,accoutre,,
172,accoutrement,"-trə-,əˈko͞otərmənt",,accoutrement,,
173,accredit,əˈkredit,verb,akkreditál,,"megbízólevéllel ellát|hitelt szerez"
174,accreditation,,,akkreditáció,,
175,accrete,əˈkrēt,verb,toboroz,recruit,
176,accretion,əˈkrēSHən,noun,növekedés,growth|increase|growing|rise|increment,szaporodás
177,accretive,,,accretive,,
178,accrual,,,eredményszemléletű,,
179,accumulate,əˈkyo͞omyəˌlāt,verb,felhalmozódnak,"amass|hoard|clump|pile up|heap up|pile up|round up|assemble|hive|rally",felhalmoz|összegyűjt
180,accumulating,,verb,felhalmozódó,"amass|hoard|clump|accumulate|pile up|heap up|pile up|accumulate|round up|assemble|hive|rally",felhalmoz|összegyűjt
181,accumulation,əˌkyo͞omyəˈlāSHən,noun,felhalmozódás,agglomeration|pile|heap|mass|batch|clump,halom
182,accumulative,"-ˌlātiv,əˈkyo͞omyələtiv",adjective,tároló,holding,
183,accuracy,ˈakyərəsē,noun,pontosság,precision|punctuality|exactness|preciseness|nicety|thoroughness,alaposság
184,accurate,ˈakyərit,adjective,pontos,exact|precise|punctual|strict|particular|thorough|profound|deep|intensive|basic,alapos
185,accurateness,,,pontosságát,,
186,accursed,"əˈkərsid,əˈkərst",adjective,elátkozott,fey,megátkozott
187,accurst,,adjective,"átokkal sújtott",,
188,accuse,əˈkyo͞oz,verb,vádol,blame|charge|incriminate|indict|denounce,ráolvas
189,accustom,əˈkəstəm,verb,hozzászoktat,"inure|settle in",
190,accustomed,əˈkəstəmd,adjective,szokásos,usual|habitual|customary|ordinary|regular|everyday|workaday,mindennapi
191,ace,ās,noun,ász,excellence|eminence|mastery|prominence|personage,kiválóság
192,acerb,,,keserű,,
193,acerbic,əˈsərbik,,fanyar,,
194,acerbity,,noun,keserűség,bitterness|wormwood|acridity,
195,ache,āk,noun,fájdalom,pain|grief|soreness|gout|throe,fájás
196,"ache for",,,fáj,,
197,achievable,,adjective,elérhető,available|accessible|attainable|feasible|practicable|realizable|doable|devisable,megvalósítható
198,achieve,əˈCHēv,verb,elér,"reach|get|gain|get at|get hold of|realize|effect|effectuate|accomplish|materialize",megvalósít
199,achievement,əˈCHēvmənt,noun,teljesítmény,"performance|output|accomplishment|efficiency|level of norm|fulfillment|compliance|discharge|consummation|fulfilment",teljesítés
200,"achilles' heel",,,"Achilles egésze",,
201,aching,ˈākiNG,adjective,fájó,sore,
202,achingly,,,fájdalmasan,,
203,achy,ˈākē,,sajgó,,
204,acid,ˈasid,noun,sav,drug|narcotic|dope,kábítószer
205,acidic,əˈsidik,,savas,,
206,acidity,əˈsiditē,,savasság,,
207,acidness,,,acidness,,
208,acidulous,əˈsijələs,adjective,savas,,
209,acknowledge,akˈnälij,verb,elismerni,"recognize|admit|concede|avow|accept|adopt|recognize|adapt|put up with",elismer|elfogad
210,acknowledgement,akˈnälijmənt,noun,elismerés,acknowledgment|receipt|recognition|acknowledgment|admission|accolade|probate,nyugtázás
211,acknowledgment,akˈnälijmənt,noun,elismerés,receipt|acknowledgement|recognition|admission|accolade|probate,nyugtázás
212,acme,ˈakmē,noun,csúcspont,height|zenith|heyday|peak|height|climax|zenith|vertex,tetőpont
213,acolyte,ˈakəˌlīt,noun,oltárszolga,,
214,acoustic,əˈko͞ostik,adjective,akusztikus,phonetic,akusztikai|hangtani
215,acoustical,,,akusztikai,,
216,acquaint,əˈkwānt,verb,megismertet,familiarize|enlighten|disabuse|inform|illuminate|lighten,felvilágosít
217,acquaintance,əˈkwāntns,noun,ismerős,,ismeretség
218,acquainted,,adjective,ismerkedés,,"ismeretségben álló"
219,acquiesce,ˌakwēˈes,verb,beleegyezik,"consent|agree|go into",belemegy
220,acquiescence,ˌakwēˈesəns,noun,hozzájárulás,contribution|consent|assent|approval|permission,"hallgatólagos beleegyezés"
221,acquiescent,ˌakwēˈesənt,adjective,beleegyező,approbatory,
222,acquirable,,,megszerezhető,,
223,acquire,əˈkwī(ə)r,verb,szerez,"obtain|gain|take|come by|evict|take out|procure|learn|pick up",megszerez|elsajátít
224,acquirement,əˈkwī(ə)rmənt,noun,megszerzés,acquisition|attainment|procurement|obtestation,
225,acquisition,ˌakwəˈziSHən,noun,beszerzés,procurement|supply|attainment|acquirement|procurement|obtestation|buying|purchase|purchase|buy|over|purchase|acquest|profit|gain|lucre|gainings|thrift,megszerzés|vásárlás|vétel|szerzeményezés|szerzemény|nyereség|vívmány|vagyongyűjtés
226,acquisitive,əˈkwizitiv,adjective,nyereségvágyó,,
227,acquisitiveness,əˈkwizitivnis,,acquisitiveness,,
228,acquit,əˈkwit,verb,viszonoz,render|requite|repay,"adósságot kiegyenlít"
229,acquittal,əˈkwitl,noun,felmentés,exemption|dispensation|relief|exoneration|exculpation,"felmentő ítélet"
230,acrid,ˈakrid,adjective,fanyar,sour|tart|acid,
231,acridity,,noun,keserűség,bitterness|acerbity|wormwood,
232,acridness,,,acridness,,
233,acrimonious,ˌakrəˈmōnēəs,adjective,elkeseredett,bitter|embittered|disappointed|heart-broken|hot|pungent|biting|peppery|scathing,csípős
234,acrimoniousness,,,acrimoniousness,,
235,acrimony,ˈakrəˌmōnē,noun,csípősség,smartness|stinginess|mordacity|piquancy|causticity,kesernyésség
236,acrobat,ˈakrəˌbat,noun,akrobata,tumbler|artiste,artista
237,acrobatics,ˌakrəˈbatiks,noun,akrobatika,,
238,across,"əˈkräs,əˈkrôs",adverb,át,through|thwart|athwart,keresztben
239,across-the-board,,adjective,"a fedélzeten keresztül",extensive|comprehensive|far-flung,széleskörű
240,act,akt,noun,törvény,action|doing|deed|action|doing|feat,cselekedet|tett|felvonás
241,"act out",,,cselekedj,,
242,"act toward",,,cselekedjünk,,
243,"act up",,verb,cselekedj,,"valaminek megfelelően jár el"
244,acting,ˈaktiNG,adjective,ható,active|operative|live|active|activated|militant,működő|aktív
245,action,ˈakSHən,noun,akció,operation|activity|function|pursuit|strenuousness|operation|operations|deed|act|doing|feat|act|doing|deployment|mission|sortie|application|commitment|fight|combat|struggle|battle|war|battle|combat|engagement|fight|operation|battle|combat|engagement|battle|combat|operation|struggle,tevékenység|művelet|tett|cselekedet|bevetés|harc|ütközet|csata|harctevékenység
246,"action figure",,,"akció figura",,
247,actionable,ˈakSHənəbəl,adjective,perelhető,,
248,activate,ˈaktəˌvāt,verb,aktiválja,"erect|stick up|rig up|raise|post|instal|install|make|charter|found","aktivizál|tevékennyé tesz|felállít|felállítás|létesít|létesítés"
249,active,ˈaktiv,adjective,aktív,"activated|acting|militant|acting|operative|live|operative|strenuous|up and doing|effective|efficient|efficacious|effectual|lively|vivid|vigorous|brisk|animated",működő|tevékeny|hatékony|élénk
250,actively,,,aktívan,,
251,activity,akˈtivitē,noun,tevékenység,action|function|pursuit|strenuousness|busyness|pursuit|occasions|function,elfoglaltság|cselekvés|ténykedés
252,actor,ˈaktər,noun,színész,"theatrical|Thespian|player|performer|play actor",színművész
253,actual,ˈakCHo͞oəl,adjective,tényleges,effective|real|factual|virtual|substantive|real|genuine|authentic|very|intrinsic|real|veritable|very|factual|live,valódi|valóságos
254,actuality,ˌakCHo͞oˈalitē,noun,aktualitás,topicality|reality,realitás
255,actualization,,,aktualizálása,,
256,actualize,ˈakCHo͞oəˌlīz,verb,megvalósít,vitalize|realize|achieve|effect|effectuate|accomplish,megelevenít
257,actually,ˈakCHo͞oəlē,adverb,tulajdonképpen,"virtually|now|at present|presently|at par",jelenleg
258,actuate,ˈakCHo͞oˌāt,verb,"működésbe hoz",operate|react|impress,"hatással van|aktivál"
259,acuity,əˈkyo͞oitē,noun,élesség,sharpness|acuteness,
260,acumen,"əˈkyo͞omən,ˈakyə-",noun,éleslátás,clairvoyance|shrewdness|artifice,eszesség
261,acute,əˈkyo͞ot,adjective,akut,virulent|pointed|sharp|mountainous|hilly|spiked|sharp|live|keen|cutting|shrill|intense|heated|impetuous|hot|vehement|bright|witty|quick-witted|cunning|sly|crafty|canny|cute,heveny|hegyes|éles|heves|éleselméjű|ravasz
262,acuteness,,noun,ravaszság,cunning|cuteness|finesse|slyness|craftiness|vehemence|fervency|impetuosity|mettle|ardour|sharpness|acuity,"hevesség|élesség|éles ész"
263,ad,ad,noun,hirdetés,advertising|advertisement|publicity|want-ad,apróhirdetés
264,"ad hoc",,,hogy,,
265,"ad interim",,,ideiglenesen,,
266,adage,ˈadij,noun,példabeszéd,parable|proverb,"bölcs mondás"
267,adamant,ˈadəmənt,adjective,hajthatatlan,intransigent|unyielding|relentless|inflexible|unrelenting,"gyémántkeménységű anyag"
268,adamantine,"-tin-,-ˌtēn,ˌadəˈmanˌtīn",adjective,kemény,hard|tough|firm|horny,
269,adapt,əˈdapt,verb,alkalmazkodni,"accept|adopt|recognize|acknowledge|put up with|become operational|go into service",adaptál|hozzáilleszt|elfogad|rendszeresít
270,adaptable,əˈdaptəbəl,adjective,alkalmazható,applicable|employable|appropriate|corresponding|right|adequate|suitable,megfelelő
