ID,"input word",pronounce,part-of-speech,translation,synonyms,alt-synonyms
538,airdrome,ˈe(ə)rˌdrōm,noun,repülőtér,airport|aerodrome|airfield|drome,
539,airfield,ˈe(ə)rˌfēld,noun,repülőtér,airport|aerodrome|drome|airdrome,
540,airhead,ˈe(ə)rˌhed,noun,"légi hídfő",,
541,airheaded,,,airheaded,,
542,airily,ˈe(ə)rəlē,adverb,felszabadultan,,
543,airman,ˈe(ə)rmən,noun,pilóta,"pilot|aviator|flying man|aircraftman|Airedale|private first class|private|lance-corporal|junior technician|leading aircraftman|plane|airplane|flier|flyer|aircraftman","őrvezető|repülő|légierő altisztje"
544,airplane,ˈe(ə)rˌplān,noun,repülőgép,aircraft|plane|aerocarrier|aeroplane|plane|flier|flyer|airman|aircraftman|aircraft|aeroplane,"repülő|légi jármű"
545,airport,ˈe(ə)rˌpôrt,noun,repülőtér,aerodrome|airfield|drome|airdrome,
546,airy,ˈe(ə)rē,adjective,levegős,graceful|facile|jaunty|tripping|lightsome,könnyed
547,akin,əˈkin,adjective,hasonló,similar|like|comparable|such|analogous|kin|kindred|affined|agnate,rokon|vérrokon
548,alacritous,,,alacritous,,
549,alacrity,əˈlakritē,noun,vidámság,cheerfulness|gaiety|glee|frolic|hilarity|nimbleness|swiftness|deftness,fürgeség
550,alarm,əˈlärm,noun,riasztás,"alert to|alert|alert to|fright|shy|affright|tocsin","riadó|ijedtség|vészcsengő|riadóztat|riadót rendel el"
551,alarmed,,verb,riasztónak,"alarm|alert|sound an alarm|scare|horrify|terrify|dismay|appall|alarm",riaszt|megrémít
552,alarming,əˈlärmiNG,verb,riasztó,"alarm|alert|sound an alarm|scare|horrify|terrify|dismay|appall|alarm",riaszt|megrémít
553,alarum,,,fesztávolságú,,
554,"alarums and excursions",,,"riasztások és kirándulások",,
555,albeit,"al-,ôlˈbē-it",conjunction,habár,although|though|whereas,
556,album,ˈalbəm,noun,album,"scrap book",emlékkönyv
557,alchemize,,,alkímiailag,,
558,alcohol,"-ˌhäl,ˈalkəˌhôl",noun,alkohol,,
559,alcoholic,"-ˈhäl-,ˌalkəˈhôlik",adjective,"alkohol függő",,alkoholos
560,alcoholism,"-hä-,ˈalkəhôˌlizəm",noun,alkoholizmus,,
561,alcove,ˈalˌkōv,noun,alkóv,cubicle,hálófülke
562,alert,əˈlərt,adjective,éber,vigilant|awake|watchful|wakeful|unsleeping|careful|cautious|conservative|wary|prudent,óvatos
563,alertness,əˈlərtnis,noun,éberség,wakefulness|vigilance|watchfulness|standby|readiness|preparedness|alert,elővigyázatosság|készenlét
564,alfresco,,adverb,"szabad levegőn",,
565,algid,,adjective,hideg,cold|chill|chilled|icy,
566,alias,ˈālēəs,noun,álnév,"incognito|pseudonym|pen name|nom de plume",
567,alibi,ˈaləˌbī,noun,alibi,excuse|objection|plea|exception|censure,kifogás
568,alien,"ˈālyən,ˈālēən",adjective,idegen,foreign|strange|extraneous|foreign|overseas|oversea|peregrine,külföldi
569,alienate,"ˈālyə-,ˈālēəˌnāt",verb,elidegenít,estrange,
570,alienation,"ˌālyə-,ˌālēəˈnāSHən",noun,elidegenítés,estrangement,
571,alight,əˈlīt,verb,kiszáll,"get off|land|descend|down|land|get off|fly down",leszáll
572,alike,əˈlīk,adjective,hasonló,"similar|like|comparable|such|analogous|all the same|uniform|much of a muchness|like|same kind",egyforma|ugyanolyan
573,alikeness,aalikeness,,Alikeness,,
574,aliment,,,élelmiszer,,
575,a-list,,,"egy listát",,
576,alive,əˈlīv,adjective,élő,"live|living|animate|breathing|living|lively|vivid|animated|live|lively|vivid|vigorous|brisk|animated|full of life|animate","eleven|élénk|élettel teli"
577,all,ôl,adjective,minden,total|aggregate|every|each|whole|entire|complete|integrate|livelong,összes|egész
578,"all around",,adjective,mindenfelé,,
579,"all but",,adverb,"mind de","almost|nearly|near|nigh|within an inch|almost|nearly",majdnem|csaknem
580,"all in",,adjective,"mindent bele",exhausted|spent|weary|done|overwrought,kimerült
581,"all of",,,"az összes",,
582,"all out",,adverb,"minden ki",amain,"teljes erővel"
583,"all over",,,mindenhol,,
584,"all right",,,rendben,,
585,"all told",,,"mindent elmondtak",,
586,allah,,,Isten,,
587,all-around,,adjective,mindenfelé,"all around",
588,allay,əˈlā,verb,enyhít,relieve|alleviate|soothe|ease|mitigate|pacify|quieten|becalm|hush|lull,lecsendesít
589,allege,,,"azt állítja,",,
590,allegiance,əˈlējəns,noun,hűség,loyalty|fidelity|adherence|troth,
591,allegory,ˈaləˌgôrē,noun,allegória,parable|exemplification|symbol|emblem|badge,példázat|jelkép
592,all-embracing,,adjective,"mindent átfogó",,
593,allergic,əˈlərjik,adjective,allergiás,,
594,allergy,ˈalərjē,noun,allergia,,
595,alleviate,əˈlēvēˌāt,verb,enyhít,relieve|soothe|ease|mitigate|extenuate|decrease|reduce|diminish|lower|cut,csökkent
596,alleviation,,noun,enyhítés,mitigation|easement|palliation,
597,alliance,əˈlīəns,noun,szövetség,covenant|guild|association|league|society,
598,allied,"əˈlīd,ˈalˌīd",adjective,szövetséges,federal|federate|confederate|federal|federative|combined|joint|corporate|united|integrated,szövetségi|egyesített
599,all-important,,adjective,"mindennél fontosabb",vital|fateful,"életbe vágó"
600,all-inclusive,,,"minden költséget magába foglaló",,
601,allocate,ˈaləˌkāt,verb,osztja,"impart|apportion|issue|deal out|hand out|give out|allot|dispense|put off|set aside|set by|set apart|put aside|transfer|locate","juttat|kiutal|kioszt|félretesz|helyet juttat|átutal|helyet megállapít"
602,allocation,ˌaləˈkāSHən,noun,kiosztás,allotment|handout|distribution|division|spacing|dispersion|benefit|allowance|assignment|placement|location|putting|housing|siting|break-up|distribution|decentralization|disposition|transfer|remittance|subordination|subjugation|attachment,elosztás|juttatás|elhelyezés|szétosztás|átutalás|alárendelés
603,allot,əˈlät,verb,kioszt,"deal out|hand out|allocate|give out|dispense|commit|confide|consign|commend|leave|designate|appoint|assign|mark off|mark out",rábíz|kijelöl
604,allotment,əˈlätmənt,noun,kiosztás,site|lot|plot|ground|realty|allocation|handout|reattachment|attachment,telek|osztályrész|átalárendelés
605,all-out,,adverb,all-out,"amain|all out","teljes erővel"
606,allow,əˈlou,verb,"lehetővé teszi",let|relent|lengthen|authorize|permit|grant|charter|countenance|permit|vouchsafe|let|leave,enged|engedélyez|megenged|hagy
607,"allow for",,,"lehetővé teszik a",,
608,"allow of",,,engedélyezze,,
609,allowable,əˈlouəbəl,adjective,megengedhető,permissible|admissible,
610,allowance,əˈlou-əns,noun,juttatás,benefit|allocation|assignment|bonus|ersatz|complement|annuity|fee|charge|award|price|prize|pay|salary|pay|stipend,pótlék|járadék|díj|járandóság|illetmény|megengedés|javadalmazás
611,alloy,,noun,ötvözet,amalgam|molding|casting|cast|ingot|moulding|mix|mixture|blend|compound|admixture,öntvény|keverék
612,alloyed,,adjective,"ötvözött fém",,
613,all-powerful,,adjective,mindenható,almighty|omnipotent,
614,all-purpose,,adjective,"minden célra",multipurpose|multipurpose|multi-role|multipurpose|multiple,univerzális|többcélú|többrendeltetésű
615,all-round,,adjective,mindenhol,versatile|many-sided|comprehensive|overall|broad|intensive|concentric|cyclic,sokoldalú|átfogó|körkörös
616,allude,əˈlo͞od,verb,utal,"refer|imply|hint|advert|aim|aim at|hint",céloz
617,allure,əˈlo͝or,verb,csábít,"attract|tempt|lure|entice|wile|hold out",kecsegtet
618,allurement,,noun,vonzás,,
619,alluring,əˈlo͝oriNG,adjective,csábító,tempting|seductive|enticing|inviting,csábos
620,alluvion,əˈlo͞ovēən,noun,hordalék,alluvium|offal,
621,ally,,noun,szövetséges,confederate|satellite|myrmidon|outrider,csatlós
622,almighty,ôlˈmītē,adjective,mindenható,omnipotent|all-powerful,
623,almost,"ôlˈmōst,ˈôlˌmōst",adverb,majdnem,"nearly|near|nigh|all but|within an inch|nearly|all but",csaknem
624,alms,ä(l)mz,noun,alamizsna,pittance|dole|benefit,jótétemény
625,almsgiving,ä(l)mzˈgiviNG,,alamizsna,,
626,aloft,əˈlôft,adverb,magasban,up,"fenn|fel|árbocon|fent a magasban"
627,alone,əˈlōn,adjective,egyedül,unique|single|singular|unmatched|lone,kizárólag|egyedülálló
628,aloneness,,,egyedüllét,,
629,along,"əˈläNG,əˈlôNG",preposition,mentén,next|near|by|beside|past,mellett
630,alongshore,"əˈläNG-,əˌlôNGˈSHôr",adverb,"part mentén",,
631,aloof,əˈlo͞of,adjective,tartózkodó,resident|reserved|reticent|irresponsive|offish,
632,aloud,əˈloud,adverb,hangosan,"loud|loudly|in a loud voice",fennhangon
633,alp,alp,noun,"havasi levegő",,
634,alpha,ˈalfə,,alfa,,
635,alphabet,"-bit,ˈalfəˌbet",noun,ábécé,ABC|ABC|ABC|ABC,"ABC|közért|alapfokú ismeretek"
636,"alphabet soup",,,betűleves,,
637,already,ôlˈredē,adverb,már,yet,immáron
638,alright,,adverb,rendben,,"rendben van"
639,also,ˈôlsō,adverb,is,"too|as well|as well|eke|likewise",szintén|ugyanúgy
640,alter,ˈôltər,verb,változtat,"change|vary|modify|modulate|change|revise|work over",változik|átdolgoz
641,"alter ego",,,"Én vagyok a második",,
642,alterable,,adjective,változtatható,changeable|variable|mutable|unsteady|inconstant,változékony
643,alteration,ˌôltəˈrāSHən,noun,módosítás,amendment|modification|change|mutation|chop|metamorphosis,változás|átalakulás
644,altercate,ˈôltərˌkāt,verb,veszekszik,quarrel|bicker,
645,altercation,ˌôltərˈkāSHən,noun,veszekedés,quarrel|brawl|tiff|blow-up,
646,alternative,ôlˈtərnətiv,adjective,alternatív,modificatory,vagylagos|módosító
647,altho,,,altho,,
648,although,ôlˈT͟Hō,conjunction,habár,"though|whilst|with|though|for all that|tho'|notwithstanding|though|whereas|albeit",bár|noha|jóllehet
649,altiplano,altiˈplänō,,altiplano,,
650,altitude,ˈaltiˌt(y)o͞od,noun,magasság,"height|elevation|depth|tallness|highness|elevation|height|high ground|eminence|hill|hummock","tengerszint feletti magasság|magaslat"
651,altitudinous,,,altitudinous,,
652,altogether,ˌôltəˈgeT͟Hər,adverb,teljesen,"completely|fully|full|totally|entirely|together|by and large","együtt|egészében véve"
653,altruistic,ˌaltro͞oˈistik,adjective,önzetlen,selfless|unselfish|disinterested|magnanimous,
654,always,"-wēz,ˈôlˌwāz",adverb,mindig,"ever|all the time|evermore|forever|for ever|eternally|evermore|ever after",örökké
655,amain,,adverb,"teljes erővel","all out",sebesen
656,amalgam,əˈmalgəm,noun,amalgám,alloy|mix|mixture|blend|compound|admixture,ötvözet|keverék
657,amalgamate,əˈmalgəˌmāt,adjective,foncsorozott,,
658,amalgamated,,adjective,összeolvadnak,mongrel,keverék
659,amalgamation,əˌmalgəˈmāSHən,noun,keveredés,melange|promiscuity|mix-up|unification|union|fusion|integration|joinder,egyesítés
660,amanuensis,əˌmanyo͞oˈensis,noun,írnok,scribe|clerk|scrivener|writer,
661,amass,əˈmas,verb,felhalmoz,"hoard|clump|accumulate|pile up|heap up|pile up|accumulate|round up|assemble|hive|mass|rally|come together",összegyűjt|összevon
662,amateur,"-CHər,-ˌCHo͝or,-ˌtər,ˈamətər",adjective,amatőr,dilettante,műkedvelő
663,amateurish,"-ˈCHo͝or-,-ˈt(y)o͝or-,ˌaməˈtəriSH",adjective,szakszerűtlen,unworkmanlike|inefficient,kontár
664,amateurishness,,,amateurishness,,
665,amateurism,,noun,szakszerűtlenség,,műkedvelés
666,amatory,ˈaməˌtôrē,adjective,szerelmes,"in love|enamored|enamoured|amorous|sensual|sensory|sensuous|amorous|carnal",szerelmi|érzéki
667,amaze,əˈmāz,verb,meghökkent,"bowl over|perplex|nonplus|astound|flummox|surprise|maze",meglep
668,amazed,,verb,meghökkent,"amaze|bowl over|perplex|nonplus|astound|flummox|surprise|amaze|maze",meglep
669,amazement,əˈmāzmənt,noun,ámulat,,elcsodálkozás
670,amazing,əˈmāziNG,adjective,elképesztő,stupendous|exorbitant|hair-raising|marvelous|prodigious|surprising|marvellous|surprising|striking|wondrous,bámulatos|meglepő
671,ambassador,"-ˌdôr,amˈbasədər",noun,nagykövet,messenger|herald|missive|forerunner|pursuivant,hírnök
672,ambiance,,,hangulatot,,
673,ambience,ˈambēəns,noun,környezet,environment|milieu|entourage|atmosphere|environment|sky,légkör
674,ambient,ˈambēənt,adjective,környező,surrounding|circumambient,
675,ambiguity,ˌambiˈgyo͞o-itē,noun,kétértelműség,amphibology|opacity|tarnish|duskiness|turbidity,homályosság
676,ambiguous,amˈbigyo͞oəs,adjective,kétértelmű,equivocal|ambivalent|oracular|double-meaning|two-sided|turbid|confused|troubled|chaotic|muddy,zavaros
677,ambiguousness,,,ambiguousness,,
678,ambit,ˈambit,noun,környék,surroundings|region|vicinity|environs|district,
679,ambition,amˈbiSHən,noun,nagyravágyás,ambitiousness|pretension|ambitiousness,becsvágy
680,ambitious,amˈbiSHəs,adjective,becsvágyó,aspiring,törekvő
681,ambitiousness,,noun,nagyravágyás,ambition|pretension|ambition,becsvágy
682,ambivalent,amˈbivələnt,adjective,ambivalens,ambiguous|equivocal|oracular|double-meaning|two-sided,kétértelmű
683,amble,ˈambəl,verb,poroszkál,,baktat
684,ambler,,noun,poroszka,jennet,
685,ambrosial,,,ambrosial,,
686,ambulant,,,járóbeteg,,
687,ambulate,ˈambyəˌlāt,,ambulate,,
688,ambulatory,ˈambyələˌtôrē,adjective,mozgó,moving|mobile|live,járó
689,ambuscade,"ˈambəˌskād,ˌambəˈskād",noun,leshely,"ambush|hide|ambush|offside|position of surveillance",lesállás
690,ambush,ˈamˌbo͝oSH,noun,csapda,"trap|snare|pitfall|decoy|track|hide|ambuscade|offside|ambuscade|position of surveillance",leshely|lesállás
691,ambushment,,,ambushment,,
692,ameliorate,"əˈmēlyəˌrāt,əˈmēlēə-",verb,fejleszt,"improve|get better|change for the better|develop|generate|give off",javul
693,amenability,,noun,engedelmesség,obedience|submissiveness|duty|responsibility|liability|onus|trust,felelősség
694,amenable,"əˈmen-,əˈmēnəbəl",adjective,irányítható,dirigible|guided|accountable|justiciable|answerable,"felelősségre vonható"
695,amend,əˈmend,verb,módosítására,"modify|modulate|vary|qualify|repair|correct|fix|mend|beef up|complete|complement|supplement|integrate|eke out",módosít|javít|kiegészít
696,amendatory,,,amendatory,,
697,amendment,əˈmen(d)mənt,noun,módosítás,modification|alteration|repair|correction|reparation|improvement|maintenance,javítás
698,amenity,"əˈmenitē,əˈmē-",noun,Szolgáltatás,pleasantness|kindness|loveliness|niceness|gentleness|prettiness,kellemesség|kedvesség
699,amiability,ˌāmēəˈbilitē,noun,szeretetreméltóság,loveliness|agreement|concord|concert|harmony|rapport,egyetértés
700,amiable,ˈāmēəbəl,adjective,kedves,dear|kind|nice|lovely|sweet|lovable|likeable|loveworthy,"szeretetre méltó"
701,amiableness,,,amiableness,,
702,amicable,ˈamikəbəl,adjective,baráti,friendly|informal|friendly|sociable|affable|snug|neighborly,barátságos
703,amid,əˈmid,preposition,között,between|among|amongst|amidst|amidst|between|among|amongst|amidst,közepén|közé
704,amidst,,preposition,között,between|among|amongst|amid|amid|between|among|amongst|amid,közepén|közé
705,amigo,,,barát,,
706,amiss,əˈmis,adverb,rosszul,"badly|poorly|sick|ill|in a bad way",rosszkor
707,amity,ˈamitē,noun,egyetértés,agreement|concord|concert|harmony|rapport|goodwill|benevolence|friendliness,jóakarat
708,ammunition,ˌamyəˈniSHən,noun,lőszer,ammo|munitions|ordnance|munition|round|ammo|munitions|bullet|projectile|missile|round|munition|shot|shooting|shoot|round|gunning,muníció|lövedék|lőszerkészlet|lövés
709,amnesty,ˈamnistē,noun,amnesztia,grace|mercy|clemency|lenity,kegyelem
710,amok,"əˈmäk,əˈmək",adjective,ámokfutó,amuck,
711,among,əˈməNG,preposition,között,between|amongst|amidst|amid|between|amongst|amid|amidst,közé
712,amongst,,preposition,között,between|among|amidst|amid|between|among|amid|amidst,közé
713,amorous,ˈamərəs,adjective,érzéki,sensual|sensory|sensuous|carnal|erotic|amatory,szerelmi
714,amorphous,əˈmôrfəs,adjective,amorf,,formátlan
715,amount,əˈmount,noun,összeg,sum|aggregate|quantity|magnitude|quantum|content|substance|purport|intension,mennyiség|tartalom
716,"amount to",,verb,összege,"add up to|put out|expose|display|set out","kitesz|felér vmivel"
717,amour,,,szerelem,,
718,"amour propre",,,"saját szerelmi",,
719,"amp up",,,amp,,
720,amphitheater,ˈamfəˌTHēətər,noun,amfiteátrum,coliseum,
721,ample,ˈampəl,adjective,bőséges,copious|plenty|abundant|plentiful|profuse|powerful|huge|mighty|enormous|vast,hatalmas
722,amplify,ˈampləˌfī,verb,erősít,strengthen|confirm|intensify|affirm|assert|extend|expand|subtend|escalate|enlarge,kiterjeszt
723,amplitude,ˈampliˌt(y)o͞od,noun,amplitúdó,abundance|plenty|affluence|width|exuberance|riches|richness|opulence|exuberance|profusion,bőség|gazdagság
724,amply,,adverb,bőségesen,aplenty,
725,amuck,,noun,ámokfutás,amok,
726,amulet,ˈamyəlit,noun,amulett,periapt,
727,amuse,əˈmyo͞oz,verb,szórakoztat,entertain,mulattat
728,amusement,əˈmyo͞ozmənt,noun,szórakoztatás,enjoyment|pleasure|treat|delight|joy,élvezet
729,amusing,əˈmyo͞oziNG,adjective,szórakoztató,entertaining|diverting|funny|humorous|side-splitting|facetious|enjoyable|delectable|delightsome,mulatságos|élvezetes
730,analgesic,"-sik,ˌanlˈjēzik",adjective,fájdalomcsillapító,anodyne|paregoric|pain-killing|painless|acheless,fájdalommentes
731,analogize,əˈnaləˌjīz,,analogize,,
732,analogous,əˈnaləgəs,adjective,hasonló,"similar|like|comparable|such|corresponding|consistent with|concurrent|congruent|consonant|congruous|corresponding|consentaneous|congenial",megegyező|egyező
733,analphabetic,,,analphabetic,,
734,analysis,əˈnaləsis,noun,elemzés,interpretation|assaying|test,analízis|teszt
735,analytic,ˌanlˈitik,adjective,analitikus,,elemző
736,analytical,ˌanlˈitikəl,,analitikai,,
737,analyze,ˈanlˌīz,verb,elemez,parse|dissect|construe|assay|analyse|analyse,analizál
738,anamnesis,ˌanəmˈnēsis,noun,emlékezőképesség,,
739,anarchic,aˈnärkik,adjective,anarchisztikus,anarchical|subversive|anarchical|anarchical|antipodal|helter-skelter,felforgató|zűrzavaros
740,anarchical,,adjective,anarchisztikus,anarchic|anarchic|antipodal|helter-skelter|subversive|anarchic,zűrzavaros|felforgató
741,anarchy,ˈanərkē,noun,anarchia,,
742,anathema,əˈnaTHəmə,noun,átok,curse|damn|malediction|cuss|malison|ban,kiátkozás
743,anathematize,əˈnaTHəməˌtīz,verb,kiátkoz,excommunicate,"egyházi átokkal sújt"
744,anatomize,əˈnatəˌmīz,verb,felboncol,dissect,boncol
745,anatomizing,əˈnatəˌmīz,verb,anatomizing,dissect|anatomize|anatomize,felboncol|boncol
746,anatomy,əˈnatəmē,noun,anatómia,,bonctan
747,ancestor,ˈanˌsestər,noun,ős,progenitor|forebear|forbear|grandsire|predecessor|progenitor|forefather,előd
748,ancestry,ˈanˌsestrē,noun,származás,origin|origins|provenance|pedigree|descent,
749,anchor,ˈaNGkər,noun,horgony,grappling-iron|hermit|recluse|solitary|anchorite|eremite,vasmacska|remete|aknahorgony
750,anchorage,ˈaNGk(ə)rij,noun,rögzítés,fixing|fixation|fastening|locking|lashing|hermitage,horgonyzóhely|remetelak
751,anchorite,ˈaNGkəˌrīt,noun,remete,hermit|recluse|solitary|eremite|anchor,
752,anchorperson,ˈaNGkərˌpərsən,,műsorvezető,,
753,ancient,ˈānCHənt,adjective,ősi,"ancestral|pristine|primeval|primordial|primitive|old-world|old|past|of old|pristine|bygone",ókori|régi
754,ancientness,,,ancientness,,
755,androgynous,anˈdräjənəs,adjective,kétnemű,hermaphrodite|epicene,
756,anecdote,ˈanikˌdōt,noun,anekdota,,
757,anesthetic,ˌanəsˈTHetik,adjective,érzéstelenítő,anaesthetic|insensate|anaesthetic,érzéstelen
758,anew,əˈn(y)o͞o,adverb,újra,"again|newly|afresh|repeatedly|over and over","ismételten|még egyszer"
759,angel,ˈānjəl,noun,angyal,,
760,anger,ˈaNGgər,noun,harag,wrath|rage|fury|ire|dander|fury|wrath|ire|heat,düh
761,angered,,verb,feldühítette,irritate|infuriate|anger|anger|infuriate,"felbosszant|dühbe hoz"
762,angle,ˈaNGgəl,noun,szög,"point of view|viewpoint|standpoint|regard",szempont
763,angling,ˈaNGg(ə)liNG,verb,horgászat,"hijack|distract|divert|head off|angle|bias|angle","eltérít|szögbe beállít"
764,angriness,,,angriness,,
765,angry,ˈaNGgrē,adjective,mérges,furious|upset|irate|wroth|waxy|furious|wrathful|irate|fretful|wroth|annoyed|resentful|fretful|pettish,dühös|haragos|bosszús
766,anguish,ˈaNGgwiSH,noun,kín,torment|misery,
767,anguished,ˈaNGgwiSHt,,elkínzott,,
768,animal,ˈanəməl,adjective,állat,beastly|crack-a-jack,állati|állat-
769,"animal magnetism",,,"állati mágnesesség",,
770,animalism,ˈanəməˌlizəm,noun,érzékiség,sensuality|sensuousness|carnality|eroticism|salacity,"ösztönös megnyilvánulások"
771,animalistic,,,állatias,,
772,animality,ˌanəˈmalitē,,animális,,
773,animalize,,,animalize,,
774,animate,,adjective,élő,"live|living|alive|breathing|alive|full of life","élettel teli"
775,animated,ˈanəˌmātid,adjective,élénk,lively|vivid|vigorous|brisk|active|living|lively|vivid|alive|live,eleven
776,animatedly,,,élénken,,
777,animately,,,animately,,
778,animation,ˌanəˈmāSHən,noun,élénkség,liveliness|vivacity|friskiness|quickness|mercuriality,"életre keltés"
779,animosity,ˌanəˈmäsitē,noun,ellenségeskedés,"hostility|enmity|feud|hostility|ill will|malevolence|malice|viciousness",rosszindulat
780,animus,ˈanəməs,noun,szándék,intention|intent|purpose|will|objective,"ellenséges indulat"
781,annalist,ˈanl-ist,noun,évkönyvíró,,
782,annals,ˈanlz,noun,évkönyv,yearbook|almanac|annual,
783,annex,,noun,melléklet,appendix|annexe|annexe,épületszárny
784,annihilate,əˈnī-əˌlāt,verb,megsemmisít,nullify|repeal|avoid|elide|efface,
785,annihilation,,noun,megsemmisítés,destruction|eradication|nullification|effacement,
786,annihilatory,,,annihilatory,,
787,announce,əˈnouns,verb,bejelent,"notify|usher in|annunciate|meld",bemond
788,announcement,əˈnounsmənt,noun,közlemény,message|statement|communique,
789,announcer,əˈnounsər,noun,bemondó,declarer|caller,
790,annoy,əˈnoi,verb,bosszant,vex|aggravate|rile|irk|fret|disturb|bother|interfere,zavar|feszélyez
791,annoyance,əˈnoi-əns,noun,bosszúság,chagrin|miff|anger|wrath|rage|fury|ire,harag
792,annoyed,,adjective,bosszús,resentful|angry|fretful|pettish|poisonous|wrathful,mérges
793,annoyer,,,annoyer,,
794,annoying,əˈnoi-iNG,adjective,bosszantó,vexing|galling|vexatious|exasperating|aggravating|embarrassing|bothering|irritating|incommodious,zavaró
795,annuity,əˈn(y)o͞oitē,noun,járadék,allowance,évjáradék
796,annul,əˈnəl,verb,semmisítse,invalidate|void|cancel|nullify|rescind|quash,"érvénytelenít|semmisnek nyilvánít|felbont szerződést"
797,annulment,əˈnəlmənt,noun,megsemmisítés,avoidance|vitiation|invalidation|abolishment|avoidance|reversal|rescission,"hatályon kívül helyezés|érvénytelenítés"
798,annunciate,,,Közlemények,,
799,anodyne,ˈanəˌdīn,adjective,fájdalomcsillapító,analgesic|paregoric|pain-killing,
800,anoint,əˈnoint,verb,bedörzsöl,"rub in|embrocate","felken személyt"
801,anomalous,əˈnämələs,adjective,rendellenes,abnormal|irregular|atypical|irregular|irregular|anomalistic,rendhagyó|szabálytalan
802,anomaly,əˈnäməlē,noun,anomália,abnormality|irregularity,rendellenesség
803,anon,əˈnän,adverb,mindjárt,"presently|soon|before long|odd-come-shortly",nemsokára
804,anonymity,ˌanəˈnimitē,noun,névtelenség,,
805,anonymous,əˈnänəməs,adjective,névtelen,nameless|authorless|unknown|unfamiliar|nameless|unbeknown|unacquainted,ismeretlen
806,another,əˈnəT͟Hər,adjective,"egy másik",other|further|additional,másik|további
807,answer,ˈansər,noun,válasz,response|reply|reaction|rejoinder|replication|reply|response,felelet
808,answerable,ˈansərəbəl,adjective,megválaszolható,accountable|justiciable|amenable,"felelősségre vonható"
809,antagonism,anˈtagəˌnizəm,noun,ellentét,contrary|contrast|antithesis|disagreement|foil|contradiction|caveat|repugnance|antilogy,ellentmondás
810,antagonist,anˈtagənist,noun,antagonista,opponent|adversary|foe|enemy|adversary|foe,ellenfél|ellenség
811,antagonistic,anˌtagəˈnistik,adjective,ellentétes,contrary|opposite|conflicting|contradictory|opposed,
812,antagonize,anˈtagəˌnīz,verb,antagonizálhatják,prevent|hamper|impede|interfere|obstruct,"akadályoz|szembeálló|ellenhatást fejt ki"
813,ante,,,előtt,,
814,"ante up","ante up",,"ante fel",,
815,antecede,,,felett,,
816,antecedent,ˌantəˈsēdnt,adjective,megelőző,prophylactic|preceding|preventive|preventative|foregoing|former|previous|preceding|anterior,előbbi
817,antecedently,,,antecedently,,
818,antedate,ˈantiˌdāt,noun,"korábbi keltezés",,
819,antediluvian,ˌantēdəˈlo͞ovēən,adjective,"özönvíz előtti",fogy|fogey,ósdi
