ID,"input word",pronounce,part-of-speech,translation,synonyms,alt-synonyms
820,anterior,anˈti(ə)rēər,adjective,előbbi,former|previous|preceding|antecedent|prophylactic|preceding|preventive|preventative|foregoing,megelőző
821,anteriorly,,adverb,előbb,before|previously|afore|previously|earlier|formerly|beforehand,korábban
822,anthem,ˈanTHəm,noun,Himnusz,,himnusz
823,anthologize,anˈTHäləˌjīz,,anthologize,,
824,anthology,anˈTHäləjē,noun,antológia,"collection of poetry",versgyűjtemény
825,anti,"ˈantē,ˈanˌtī",prefix,elleni,counter-|anti-,ellen-
826,antic,,,régi,,
827,anticipant,,,felkészülés,,
828,anticipate,anˈtisəˌpāt,verb,számít,calculate|reckon|sense|perceive|forebode|herald|foretoken|outmatch|foreshadow|imply|accelerate|hurry|bustle|urge|hasten|prevent|precede|overtake|forestall|forego|forecast|foresee|previse|envisage|premeditate,"megérez|előre jelez|elébe vág|sejtet|siettet|megelőz|előre lát|előre mérlegel|anticipál|előre megfontol|előre érez|előrebocsát|előbbre hoz|idő előtt megtesz|korábbra tesz"
829,anticipated,,verb,várható,calculate|anticipate|reckon|anticipate|sense|perceive|anticipate|forebode|herald|foretoken|anticipate|outmatch|foreshadow|imply|anticipate|accelerate|hurry|bustle|urge|hasten|expedite|prevent|precede|overtake|forestall|forego|anticipate|forecast|foresee|previse|envisage|anticipate|anticipate|anticipate|premeditate|anticipate|anticipate|anticipate|anticipate|anticipate|anticipate,"számít|megérez|előre jelez|elébe vág|sejtet|siettet|megelőz|előre lát|előre mérlegel|anticipál|előre megfontol|előre érez|előrebocsát|előbbre hoz|idő előtt megtesz|korábbra tesz"
830,anticipation,anˌtisəˈpāSHən,noun,előérzet,hunch|premonition|presentiment|aura|calculation|calculus|count,számítás
831,anticipatory,anˈtisəpəˌtôrē,adjective,előzetes,preliminary|prior|previous|preparatory|precursory|forehanded|forethoughtful|far-seeing|longsighted|prescient,előrelátó
832,antidote,ˈantiˌdōt,noun,ellenméreg,antitoxin,
833,antipathetic,anˌtipəˈTHetik,adjective,ellenszenves,obnoxious|disagreeable|antipathic|antipathetical|distinct|divergent|heterogeneous|antipathetical|antipathetical|ill-sorted,"elütő|össze nem illő"
834,antipathy,anˈtipəTHē,noun,ellenszenv,dislike|grudge|distaste|disinclination|scunner,
835,antipodal,anˈtipədl,adjective,ellenlábas,anarchic|anarchical|helter-skelter,zűrzavaros
836,antipode,ˈantiˌpōd,noun,ellenlábas,,
837,antipodean,,,antipodean,,
838,antiquated,ˈantiˌkwātid,adjective,elavult,obsolete|outdated|outworn|out-of-date|played-out|out-of-date|old-fashioned|dated|passe,régimódi
839,antique,anˈtēk,adjective,antik,ancient|ancestral|pristine|primeval|primordial,ősi
840,antiquity,anˈtikwitē,noun,antikvitás,,"ókori műalkotás"
841,antiseptic,ˌantiˈseptik,adjective,fertőtlenítő,disinfectant|germicidal,
842,antisocial,"ˌantēˈsōSHəl,ˌantī-",adjective,társadalomellenes,,
843,antithesis,anˈtiTHəsis,noun,ellentét,contrary|contrast|antagonism|disagreement|foil,szembenállás
844,antithetical,ˌantəˈTHetikəl,adjective,ellentétes,contrary|opposite|conflicting|contradictory|opposed|antithetic,"ellentétekben gazdag"
845,antre,,,belépés,,
846,antsy,ˈantsē,,ideges,,
847,anxiety,aNGˈzī-itē,noun,szorongás,distress|phobia|concern|worry|care|misgiving,aggodalom
848,anxious,ˈaNG(k)SHəs,adjective,aggódó,worried|concerned|uneasy|diligent|studious,igyekvő|sóvár
849,anxiousness,,,szorongás,,
850,any,ˈenē,pronoun,bármilyen,some|none|something|anything,semmi|valami
851,anyhow,ˈenēˌhou,adverb,akárhogy,"by all means|in any event|anyway|in any case|leastways|howsoever|someway|anywise","mindenesetre|akárhogyan is|valahogyan"
852,anymore,ˌenēˈmôr,,többé,,
853,anyway,ˈenēˌwā,adverb,"akárhogyan is","anyhow|by all means|in any event|in any case|leastways|in a way|aught|soever","különben is|mindenesetre|valahogy|bárhogyan"
854,anyways,ˈenēˌwāz,,egyébként,,
855,anywise,ˈenēˌwīz,adverb,valahogyan,anyhow|someway,bármiképp
856,a-ok,,,Egy-ok,,
857,apace,əˈpās,adverb,rohamosan,"fast|quickly|quick|speedily|in a hurry",gyorsan
858,apanage,,,apanázs,,
859,apart,əˈpärt,adverb,egymástól,separately|aside|out-of-the-way,külön|félre|széjjel
860,"apart from",,adverb,"attól eltekintve",,"valamitől eltekintve"
861,apartment,əˈpärtmənt,noun,lakás,flat|housing|habitation|residence|rooms|room|chamber,lakosztály|szoba
862,apathetic,ˌapəˈTHetik,adjective,fásult,insensitive|blase|apathetical|unconcerned|nonchalant|uninterested|stolid|phlegmatic|stolid|apathetical|phlegmatic|impassive,közönyös|egykedvű
863,apathy,ˈapəTHē,noun,fásultság,lethargy|insensitivity|insensibility|insensitivity|callousness|insusceptibility|impassibility,érzéketlenség
864,ape,āp,noun,"emberszabású majom",anthropoid|simian,"nagytestű farkatlan majom"
865,aper,apar,,további,,
866,aperiodic,ˌāpi(ə)rēˈädik,,aperiodikus,,
867,aperture,ˈapərˌCHər,noun,nyílás,opening|orifice|vent|hatch|gap|compartment|bay|diaphragm|bin|tray|gap|slot|slit|opening|rift,rekesz|rés
868,apex,ˈāpeks,noun,csúcs,peak|top|summit|vertex|tip,
869,aphorism,ˈafəˌrizəm,noun,aforizma,maxim|gnome|epigram,"velős mondás"
870,aphoristic,,adjective,aforizmás,,
871,aphrodisiac,"-ˈdēZHē-,-ˈdēzē-,ˌafrəˈdizēˌak",adjective,"nemi vágyat fokozó",,
872,aphrodisiacal,,,aphrodisiacal,,
873,apiece,əˈpēs,adverb,"egy darab","per capita|per head|piecemeal",fejenként|darabonként
874,apish,ˈāpiSH,adjective,majomszerű,monkeyish|simian|pithecoid|mimic|mimetic,majmoló
875,aplenty,əˈplentē,adverb,bőségesen,amply,
876,aplomb,"əˈpläm,əˈpləm",noun,higgadtság,serenity|composure|calmness|evenness|equilibrium,"biztos fellépés"
877,apocalypse,əˈpäkəˌlips,noun,Apokalipszis,Apocalypse,
878,apocalyptic,əˌpäkəˈliptik,,apokaliptikus,,
879,apocalyptical,,,apokaliptikus,,
880,apogee,ˈapəjē,noun,tetőpont,peak|height|climax|zenith|vertex,
881,apologetic,əˌpäləˈjetik,adjective,mentegetőző,apologetical|deprecatory|defensive|apologetical|excusatory|apologetical|palliative,védekező|mentegető
882,apologue,"-ˌläg,ˈapəˌlôg",,apologue,,
883,apology,əˈpäləjē,noun,bocsánatkérés,forgiveness|remission,bocsánat|mentegetődzés
884,apoplectic,ˌapəˈplektik,adjective,vérmes,plethoric|sanguineous,"gutaütésre hajlamos"
885,apostate,"-tit,əˈpäsˌtāt",adjective,hitehagyott,,
886,apostle,əˈpäsəl,noun,apostol,,
887,apothecary,əˈpäTHiˌkerē,noun,patikus,pharmacist|druggist|pharmacist|druggist|pharmacologist|dispenser,gyógyszerész
888,apothegm,apothégm,,apothegm,,
889,apothegmatic,apothégmatik,,apothegmatik,,
890,apotheosis,"əˌpäTHēˈōsis,ˌapəˈTHēəsis",noun,megdicsőülés,deification|transfiguration,
891,appal,Appāl,,túl,,
892,appall,əˈpôl,verb,megdöbbent,astonish|astound|dismay|dumbfound|flabbergast|scare|horrify|terrify|dismay|alarm,megrémít
893,appalling,əˈpôliNG,adjective,megdöbbentő,astonishing|shocking|appaling|frightening|creepy|startling|frightful|horrific,ijesztő
894,appanage,ˈapənij,noun,apanázs,apanage,
895,apparatus,"-ˈrātəs,ˌapəˈratəs",noun,berendezés,equipment|furnishing|furniture|installation|appliance|device|machine|appliance|gadget|gimmick|institution|establishment|institute,készülék|apparátus|intézmény
896,apparel,əˈparəl,noun,felszerelés,equipment|installation|gear|mounting|outfit,
897,apparent,"əˈparənt,əˈpe(ə)r-",adjective,látszólagos,"seeming|ostensible|obvious|evident|manifest|overt|patent|visible|in evidence|ocular",nyilvánvaló|látható
898,apparently,"əˈparəntlē,əˈpe(ə)r-",adverb,látszólag,"seemingly|ostensibly|quasi|on the surface|obviously|evidently|naturally","nyilvánvalóan|kézzel foghatóan"
899,apparition,ˌapəˈriSHən,noun,jelenés,ghost|spook|specter|bogey|phantom,kísértet
900,appeal,əˈpēl,noun,fellebbezés,call|attractiveness|attraction|request|petition|intercession|attraction|charisma,felhívás|vonzerő|kérés|varázs
901,"appeal to",,verb,fellebbezni,"turn to|have recourse to","fordul valakihez"
902,appealing,əˈpēliNG,adjective,tetszetős,touching|moving,megható
903,appear,əˈpi(ə)r,verb,megjelenik,"be published|turn up|turn out|seem|show up|turn up",látszik|feltűnik
904,appearance,əˈpi(ə)rəns,noun,megjelenés,,"külső megjelenés"
905,appease,əˈpēz,verb,kielégít,"reconcile|tranquillize|quell|calm down|hush|satisfy|satiate|sate|gratify|slake",lecsillapít
906,appeasing,,verb,nyugtató,"appease|reconcile|tranquillize|quell|calm down|hush|satisfy|satiate|sate|gratify|slake|appease",lecsillapít|kielégít
907,appellation,"äpeläˈsyôN,ˌapəˈlāSHən",noun,megnevezés,denomination|name,elnevezés
908,appellative,əˈpelətiv,adjective,köznévi,,
909,append,əˈpend,verb,mellékel,enclose|inclose|subjoin|subjoin,hozzáfűz
910,appendage,əˈpendij,noun,függelék,appendix|addendum|rider,
911,appendix,əˈpendiks,noun,függelék,addendum|appendage|rider|annex|annexe|caecum,melléklet|vakbél
912,appertain,ˌapərˈtān,,hozzátartozik,,
913,appetency,,,sóvárgás,,
914,appetite,ˈapiˌtīt,noun,étvágy,relish,
915,appetizing,ˈapiˌtīziNG,adjective,étvágygerjesztő,,
916,applaud,əˈplôd,verb,tapsol,"clap|clap one's hands","tapsot kap"
917,applaudable,,,applaudable,,
918,applauding,,verb,tapsoltak,"applaud|clap|clap one's hands|applaud","tapsol|tapsot kap"
919,applause,əˈplôz,noun,taps,clap|plaudits|approval|suffrage|acclamation,helyeslés
920,apple-polish,,,apple-lengyel,,
921,apple-polisher,,,apple-polírozó,,
922,appliance,əˈplīəns,noun,készülék,device|machine|apparatus|gadget|gimmick|equipment|apparatus|furnishing|furniture|installation,berendezés
923,applicability,,,alkalmazhatóság,,
924,applicable,"əˈplik-,ˈaplikəbəl",adjective,alkalmazható,adaptable|employable|appropriate|corresponding|right|adequate|suitable|suitable|appropriate|capable|convenient|competent,megfelelő|alkalmas|ráilleszthető|rátehető
925,applicant,ˈaplikənt,noun,pályázó,competitor|aspirant|postulant|candidate|nominee,jelölt
926,application,ˌapliˈkāSHən,noun,Alkalmazás,use|employment|adaptation|employ|hiring|consumption|utilization|expenditure|reclamation|exercise|use|usage|tenure|exertion|report|meaning|significance|import|dispatch|deployment|mission|action|sortie|commitment,alkalmazás|felhasználás|használat|alkalmazhatóság|jelentés|bevetés
927,applicative,"əˈplikə-,ˈapliˌkātiv",,alkalmazó,,
928,applied,əˈplīd,adjective,alkalmazott,hired,
929,applier,,,applikátor,,
930,apply,əˈplī,verb,alkalmaz,"use|employ|hire|administer|ply|sow|plant|put under|use|utilize|use up|expend|trade in",ráilleszt|bevet|felhasznál
931,appoint,əˈpoint,verb,kinevez,"nominate|designate|assign|mark off|mark out|lay out|mark out|pin up|promote",kijelöl|kitűz|előléptet
932,appointee,,noun,kinevezett,,
933,appointment,əˈpointmənt,noun,"időpont egyeztetés",nomination|placement|meet|reunion|get-together|time|moment|notification|declaration|statement,kinevezés|találkozó|időpont|bejelentés
934,apportion,əˈpôrSHən,verb,juttat,"partition|divide|parcel|distribute|share out|allocate|impart",feloszt
935,apportionment,əˈpôrSHənmənt,,felosztás,,
936,apposite,,,különleges,,
937,appositely,,adverb,találóan,,
938,appositeness,,,appositeness,,
939,appraisal,əˈprāzəl,noun,értékelés,evaluation|rating|assessment|valuation|interpretation|assessment,felbecsülés
940,appraise,əˈprāz,verb,értékel,value|evaluate|rate|appreciate|interpret|measure|estimate|evaluate|assess|compute,felbecsül
941,appraisement,,noun,becslés,"estimation|estimate|valuation|guess work",
942,appreciable,əˈprēSH(ē)əbəl,adjective,észlelhető,,
943,appreciate,əˈprēSHēˌāt,verb,méltányol,value|evaluate|rate|appraise|interpret,értékel
944,appreciation,əˌprēSHēˈāSHən,noun,felértékelődés,"enhancement of value|betterment",nagyrabecsülés|értéknövekedés|méltánylás
945,appreciative,əˈprēSH(ē)ətiv,adjective,méltányoló,,
946,appreciatively,,,elismerően,,
947,appreciativeness,,,appreciativeness,,
948,appreciatory,,,appreciatory,,
949,apprehend,ˌapriˈhend,verb,felfog,"arrest|put under arrest|realize|comprehend|perceive|understand|grasp|understand|comprehend|vert|perceive|see",letartóztat|megért
950,apprehended,,verb,elfogott,"arrest|apprehend|put under arrest|realize|comprehend|perceive|understand|grasp|apprehend|understand|comprehend|vert|perceive|see|apprehend",letartóztat|felfog|megért
951,apprehensible,ˌapriˈhensəbəl,adjective,felfogható,comprehensible|understandable|cogitable,
952,apprehension,ˌapriˈhenSHən,noun,letartóztatás,arrest|understanding|uptake|perception|sense|comprehension|realization,megértés|felfogás
953,apprehensive,ˌapriˈhensiv,adjective,nyugtalan,worried|concerned|fidgety|jittery|restive|intelligent|knowledgeable|clever|competent|judicious,értelmes
954,apprehensiveness,,,apprehensiveness,,
955,apprentice,əˈprentis,noun,"ipari tanuló",,
956,apprenticeship,əˈprentisˌSHip,noun,gyakornoki,,tanoncság
957,apprise,əˈprīz,verb,értesít,notify|inform|apprize|apprize,"tudomására hoz"
958,approach,əˈprōCH,noun,megközelítés,oncoming,"közeledés|közelgés|közelítő árok|ostromárok"
959,approaching,,noun,közeledik,,
960,approbate,,,jóváhagy,,
961,approbation,ˌaprəˈbāSHən,noun,jóváhagyás,approval|endorsement|confirmation|ratification|sanction|certificate|verification|excuse|exculpation|tracking,igazolás
962,approbatory,,,beleegyező,,
963,appropriate,,adjective,megfelelő,"corresponding|right|adequate|suitable|proper|proper|suitable|capable|applicable|convenient|competent|correct|right|well|fitting|seemly|pertinent|apposite|felicitous|incisive|entitled|entitled to",helyénvaló|alkalmas|helyes|találó|jogosult
964,appropriately,,,megfelelő,,
965,appropriateness,,noun,alkalmasság,suitability|fitness|aptitude|competence|adequacy,
966,appropriation,əˌprōprēˈāSHən,noun,előirányzat,expropriation,eltulajdonítás
967,approval,əˈpro͞ovəl,noun,jóváhagyás,endorsement|confirmation|ratification|sanction|affirmation|contribution|consent|assent|permission|share|applause|suffrage|acclamation,hozzájárulás|helyeslés
968,approve,əˈpro͞ov,verb,jóváhagy,ratify|sanction|affirm|assent|endorse|endorse|indorse|uphold|confirm|strengthen|reinforce|fortify|verify,helyesel|megerősít
969,"approve of",,,helyesli,,
970,approving,əˈpro͞oviNG,verb,jóváhagyásáról,approve|ratify|sanction|affirm|assent|endorse|approve|endorse|indorse|uphold|confirm|strengthen|reinforce|fortify|verify|vouch,jóváhagy|helyesel|megerősít
971,approvingly,,adverb,helyeslően,,
972,approximate,,adjective,hozzávetőleges,proximate,megközelítő
973,approximately,əˈpräksəmətlē,adverb,"hozzávetőlegesen, körülbelül",,hozzávetőlegesen
974,approximative,,,durva,,
975,appurtenant,əˈpərtn-ənt,adjective,járulékos,incremental|adjunct,
976,apres,,,után,,
977,apropos,ˌaprəˈpō,adverb,apropó,,
978,"apropos of",,preposition,"valami kapcsán",,
979,apt,apt,adjective,hajlamos,liable|inclined|minded|given|inclinable,"jó eszű"
980,aptitude,ˈaptiˌt(y)o͞od,noun,alkalmasság,facility|talent|capability|aptness|suitability|fitness|competence|appropriateness|adequacy|tendency|predisposition|leaning|inclination|susceptibility|caliber|suitability|efficiency|talent|gift|ability|faculty|art|susceptibility|predisposition|responsiveness|receptivity|sensibility,"adottság|hajlam|rátermettség|tehetség|fogékonyság|gyors felfogóképesség"
981,aptness,ˈaptnis,noun,adottság,aptitude|facility|talent|capability|suitability|fitness|aptitude|competence|appropriateness,alkalmasság
982,"aqua vitae",,,"az élet vize",,
983,aquatic,"əˈkwat-,əˈkwätik",adjective,vízi,hydraulic|watery,
984,aqueduct,"ˈak-,ˈäkwəˌdəkt",noun,vízvezeték,channel|canal|duct|drain|conduit,csatorna
985,aquiver,,,aquiver,,
986,arbiter,ˈärbitər,noun,döntőbíró,arbitrator|referee|conciliator|referendary|umpire,
987,arbitrary,ˈärbiˌtrerē,adjective,önkényes,discretionary|absolutistic|high-handed,önhatalmú
988,arbitrate,ˈärbiˌtrāt,verb,döntőbíráskodik,"decide|adjudicate|take a position",eldönt
989,arbitrator,ˈärbiˌtrātər,noun,döntőbíró,referee|conciliator|referendary|arbiter|umpire,
990,arc,ärk,noun,ív,sheet|sinuosity,körív
991,arcadian,,adjective,árkádiai,Arcadian,
992,arcane,ärˈkān,adjective,misztikus,mystic,"titkos hatású"
993,arch,ärCH,noun,boltív,vault,bolthajtás
994,archaic,ärˈkāik,adjective,régies,,
995,archconservative,ärCHkənˈsərvətiv,,archconservative,,
996,archetypal,ˌärk(i)ˈtīpəl,,archetipikus,,
997,archetype,ˈärk(i)ˌtīp,noun,őstípus,,alaptípus
998,archetypical,,,archetipikus,,
999,archfiend,ˌärCHˈfēnd,noun,főellenség,archenemy,
1000,architect,ˈärkiˌtekt,noun,építészmérnök,,
1001,architecture,ˈärkiˌtekCHər,noun,építészet,structure|device|construction|mechanism|fabric,szerkezet
1002,archive,ˈärˌkīv,,archív,,
1003,archly,,adverb,csintalanul,,
1004,archon,ˈärˌkän,,archon,,
1005,arctic,,adjective,sarkvidéki,subpolar|polar,sarki
1006,ardency,,,ardency,,
1007,ardent,ˈärdnt,adjective,lelkes,enthusiastic|keen|soulful|zealous|impassioned|burning|fiery|alight|afire,égő
1008,"ardent spirits",,,"lelkes szellemek",,
1009,ardor,ˈärdər,noun,lelkesedés,enthusiasm|zest|eagerness|verve|rave|vehemence|acuteness|fervency|impetuosity|mettle,hevesség
1010,arduous,ˈärjo͞oəs,adjective,fáradságos,painful|laborious|cumbrous|cumbersome|steep|precipitous|bluff|prone|bluffy,meredek
1011,arduously,,,arduously,,
1012,area,ˈe(ə)rēə,noun,terület,zone|territory|region|grounds|ground|district|zone|section|locality|bar|band|lane|strip|stripe|platoon|section|phase|paragraph|period|quarters|dorm|dormitory|place,körzet|körzeti|sáv|szakasz|körlet|mellék
1013,arena,əˈrēnə,noun,küzdőtér,"lists|crew space|fighting compartment",
1014,argentine,"-ˌtēn,ˈärjənˌtīn",noun,argentin,Argentinean,
1015,argosy,ˈärgəsē,noun,flotta,fleet|navy|ship|boat|craft|keel|prow,hajó
1016,argot,,,tolvajnyelv,,
1017,arguable,ˈärgyo͞oəbəl,adjective,vitatható,debatable|questionable|disputable,
1018,argue,ˈärgyo͞o,verb,érvel,"bring to reason|dispute|debate|quarrel|wrangle|contend|dispute|oppugn|impugn",vitatkozik|vitat
1019,arguer,,,vitatkozó,,
1020,argufier,,,argufier,,
1021,argufy,ˈärgyəˌfī,,argufy,,
1022,argument,ˈärgyəmənt,noun,érv,"reasoning|argumentation|debate|dispute|discussion|controversy|quarrel|topic|theme|subject|subject matter|text",érvelés|vita|téma
1023,argumentation,ˌärgyəmənˈtāSHən,noun,érvelés,argument|reasoning|demonstration|documentation,bizonyítás
1024,argumentative,ˌärgyəˈmentətiv,adjective,veszekedős,petulant,
1025,argus-eyed,ˈärgəsˌīd,adjective,"Árgus szemű",Argus-eyed,
1026,arid,ˈarid,adjective,száraz,dry|anhydrous|stale|droughty|prosaic,
1027,arise,əˈrīz,verb,felmerülhet,"originate|hail from|resurrect|get up|revolt",ered|feltámad|felkel
1028,aristocracy,ˌariˈstäkrəsē,noun,arisztokrácia,,
1029,aristocrat,əˈristəˌkrat,noun,arisztokrata,,
1030,aristocratic,əˌristəˈkratik,adjective,főnemesi,,
1031,arithmetic,,noun,számtan,,
1032,arm,ärm,noun,kar,"handle|chorus|weapon|arms|branch|combat arm|wing|flank|vane|pinion|lap|branching|junction|fork|bifurcation|ramification|handle|lever|knob|holder|pull",élesít|fegyver|fegyvernem|szárny|elágazás|fogantyú|harceszköz
1033,armada,ärˈmädə,noun,armada,fleet,hajóhad
1034,armature,"-ˌCHo͝or,ˈärməCHər",noun,forgórész,arming|rotor|circumvolution,tekercselés
1035,"armed forces",,noun,"fegyveres erők","armed services|military power|army|the military|soldiery|military personnel",katonaság
1036,armistice,ˈärməstis,noun,fegyverszünet,truce|cease-fire|truce,tűzszünet
1037,armor,ˈärmər,noun,páncél,"mail|cuirass|armour|armor plating|armour|armour-plating|arms|arming|armament|weaponry|arsenal|harness|armour|armour|armour","páncélzat|fegyverzet|vért|páncélozott|páncélos csapatok"
1038,armory,ˈärmərē,noun,fegyvertár,"armoury|gun room|pod|armoury|arsenal|arsenal|armoury|heraldry|armoury",fegyvergyár|fegyverraktár|címertan
1039,arm-twisting,,noun,kar-csavarás,"arm twisting","erőszak alkalmazása"
1040,army,ˈärmē,noun,hadsereg,"field army|the military|soldiery|military personnel|armed forces|ground forces|land forces","katonaság|szárazföldi csapatok|szárazföldi erő"
1041,aroma,əˈrōmə,noun,aroma,flavor|flavoring|flavour|flavouring|fragrance|scent|perfume|odor|fragrancy|flavor|savor|flavour|savour,illat|zamat
1042,aromatic,ˌarəˈmatik,,aromás,,
1043,around,əˈround,preposition,körül,about|circa|near,körülbelül|közel
1044,arouse,əˈrouz,verb,felkelti,wake|awake|waken|excite|ruffle|madden,felébreszt|felizgat
1045,arrange,əˈrānj,verb,rendezni,"manage|administer|order|pigeonhole|dispose|settle|tidy up|negotiate|stipulate|come to terms","intéz|elrendez|elintéz|megállapodik|lépéseket tesz"
1046,arrangement,əˈrānjmənt,noun,elrendezés,layout|arranging|organization|composition|disposal|agreement|consensus|consistency|coincidence|congruence|adjustment|disposal,megegyezés|elintézés|végakarat
1047,arrant,ˈarənt,adjective,hírhedt,notorious,
1048,array,əˈrā,noun,sor,"line|row|range|rank|tier|presentation|display|demonstration|showing|production|order|battle formation|combat order|disposition|order of battle","bemutatás|esküdtszék beiktatása|harcrend"
1049,arrearage,,,hátraléknyilatkozatban,,
1050,arrears,əˈri(ə)rz,noun,lemaradás,lag|arrear,
1051,arrest,əˈrest,noun,letartóztatás,apprehension,leszorítás
1052,arrested,,adjective,letartóztatott,backward,visszamaradt
1053,arresting,əˈrestiNG,adjective,megragadó,,
1054,arrestment,,,reteszelést,,
1055,arrival,əˈrīvəl,noun,érkezés,,befutás
1056,arrive,əˈrīv,verb,megérkezik,"come in|check in|roll up","megjön|jut vmire"
1057,arriviste,,,újgazdag,,
1058,arrogance,ˈarəgəns,noun,gőg,pride|haughtiness|lordliness,
1059,arrogant,ˈarəgənt,adjective,arrogáns,haughty|overweening|lofty|lordly|stuck-up,gőgös
1060,arrogate,ˈarəˌgāt,verb,követel,"demand|claim|call for|necessitate|exact","tulajdonít vkinek vmit"
1061,arrogation,,,"magának azt",,
1062,arsenal,ˈärs(ə)-nl,noun,fegyverraktár,armory|armoury|armoury|armory|arms|arming|armor|armament|weaponry,fegyvergyár|fegyverzet
1063,arsonist,ˈärsənist,,gyújtogató,,
1064,art,ärt,noun,Művészet,dexterity|skill|artfulness|cleverness|deftness|talent|gift|ability|faculty|aptitude,művészet|ügyesség|tehetség
1065,arterial,ärˈti(ə)rēəl,adjective,artériás,,ütőéri
1066,artery,ˈärtərē,noun,artéria,,ütőér
1067,artful,ˈärtfəl,adjective,ügyes,clever|skillful|skilful|deft|good,
1068,artfully,,,művészien,,
1069,artfulness,,noun,ügyesség,dexterity|skill|cleverness|deftness|ingenuity,
1070,article,ˈärtikəl,noun,cikk,item|commodity|goods|thing|stuff|matter|object|work,árucikk|névelő|dolog
1071,articulate,,adjective,tagolt,,közérthető
1072,articulateness,,,articulateness,,
1073,articulation,ärˌtikyəˈlāSHən,noun,tagolás,pronunciation|vocalization|enunciation,kiejtés|összeilleszkedés
1074,artifice,ˈärtəfis,noun,csel,trick|ruse|dodge|cunning|cuteness|finesse|slyness|craftiness|shrewdness|acumen,ravaszság|eszesség
1075,artificer,ärˈtifəsər,noun,kézműves,craftsman|artisan|handicraftsman,
1076,artificial,ˌärtəˈfiSHəl,adjective,mesterséges,dummy|man-made|affected|sophisticated|unconstrained|factitious|prim,mesterkélt
1077,artillery,ärˈtilərē,adjective,tüzérségi,,
1078,artisan,ˈärtəzən,noun,kézműves,craftsman|handicraftsman|artificer|craftsman,mesterember
1079,artist,ˈärtist,noun,művész,,
1080,artistic,ärˈtistik,adjective,művészeti,artistical|artistical,művészi
1081,artistry,ˈärtistrē,noun,művésziesség,,
1082,artless,ˈärtlis,adjective,művészietlen,inartistic,
1083,artlessly,,,artlessly,,
1084,artlessness,,,ártatlanság,,
1085,as,"as,az",adverb,mint,qua,
1086,"as far as",,adverb,"addig, amíg",,amennyire|valameddig
1087,"as for",,,"mint a",,
1088,"as if",,conjunction,mintha,as,
1089,"as long as",,adverb,amíg,thither,addig
1090,"as regards",,adverb,illetően,,
1091,"as respects",,,tekintetben,,
1092,"as soon as",,adverb,amint,,mihelyt
1093,"as though",,adverb,mintha,,
1094,"as to",,conjunction,hogy,,"ami ... illeti"
1095,"as well as",,adjective,továbbá,,valamint
1096,ascend,əˈsend,verb,felemelkedik,"rise|lift off|uprise|take off|get on|soar|lift off|lift",felszáll
1097,ascendance,,,származás,,
1098,ascendancy,əˈsendənsē,noun,hatalom,power|authority|might|empire|potency|influence|impact|leverage|hold|inflow,befolyás
1099,ascendence,,,Ascendence,,
1100,ascendency,,,befolyás,,
